,Wikias by pageviews,Wiki ID,Primary,Secondary - Add all that apply,,Secondaries to chose from:,
Joe,harrypotter.wikia.com,509,Books,Movies| Drama| Fantasy| Gaming| Action| PC| Xbox 36 PlayStation  Young Adult,,Fighting,
Scott,thehungergames.wikia.com,35171,Books,Movies| Sci-Fi| Adventure| Action| Young Adult,,JRPG,
Ariana,howtotrainyourdragon.wikia.com,13367,Books,Movies| Music| Gaming| Animation,,Linux,
Thomas,lotr.wikia.com,159,Books,Fantasy| Movies| Adventure,,PlayStation 4,
Ariana,camphalfblood.wikia.com,3313,Books,Young Adult| Action| Adventure| Children| Fantasy| Movies,,RTS,
Kate,twilightsaga.wikia.com,5687,Books,Movies| Romance| Comics| Young Adult,,,
Kate,warriors.wikia.com,1714,Books,Children| Fantasy,,,
Kate,shadowhunters.wikia.com,12244,Books,Action| Adventure| Fantasy| Movies| Comics| Romance| Young Adult,,,
Bert,divergent.wikia.com,265480,Books,Movies| Young Adult| Sci-Fi| Adventure| Action,,,
Tim Q,iceandfire.wikia.com,7045,Books,Fantasy| Drama,,,
Sannse,wot.wikia.com,730,Books,Fantasy| Trading Card Game (TCG)| RPG| Gaming| Shooter| Adventure,,,
Nick,arthur.wikia.com,10415,Books,TV| Animation| Children| Education| Adventure,,,
Nick,bakerstreet.wikia.com,681379,Books,TV| Movies| Action| Adventure| Drama| Classical| Humor| ,,,
Annette,malazan.wikia.com,6313,Books,Fantasy,,,
Annette,the100.wikia.com,750919,Books,TV| Young Adult| Drama| Fantasy,,,
Annette,camphalfbloodroleplay.wikia.com,243470,Books,Fantasy| Young Adult,,,
Annette,vampireacademy.wikia.com,15738,Books,Young Adult| Fantasy,,,
Wendy,aliens.wikia.com,1231,Books,sci-fi| horror| books| movies| tv| comics| gaming,,,
Luis,parody.wikia.com,78127,Books,comedy| humor,,,
Tim Q,mahouka-koukou-no-rettousei.wikia.com,699165,Comics,Anime,,,
Andrew,date-a-live.wikia.com,614094,Comics,Anime| Animation,,,
Luis,yuyuhakusho.wikia.com,6521,Comics,Anime| Adventure| Horror,,,
Joe,yugioh.wikia.com,410,Comics,Anime| TV| Gaming| TCG| Strategy| Movies| Xbox 36 PlayStation  Nintendo 3DS,,Action,
Joe,marvel.wikia.com,2233,Comics,Movies| TV| Animation| Heroes| Gaming| Action| Fighting| RPG| MMO| Mobile| iOS| PC| Xbox 36 Xbox One| PlayStation PlayStation  Wii U,,Anime,
Joe,naruto.wikia.com,1318,Comics,Anime| Gaming| Movies| Fighting| Action| Xbox 36 PlayStation 3,,Books,
Joe,onepiece.wikia.com,1081,Comics,Anime| Books| Gaming| Action| RPG| Fighting| PlayStation  Wii U| Nintendo 3DS,,Education,
Joe,dc.wikia.com,2237,Comics,Movies| TV| Animation| Heroes| Gaming| Action| Fighting| RPG| MMO| MOBA| Shooter| Mobile| iOS| PC| Xbox 36 PlayStation Wii U| Nintendo 3DS,,Finance,
Joe,fairytail.wikia.com,6276,Comics,Anime| Gaming| Fighting,,Food and Drink,
Joe,dragonball.wikia.com,530,Comics,Anime| Movies| Toys| Books| Gaming| Fighting| Action| RPG| TCG| Xbox 36 PlayStation  Nintendo 3DS,,Free-to-Play,
Annette,towerofgod.wikia.com,175944,Comics,Manga| Anime,,Java,
Thomas,bleach.wikia.com,3747,Comics,TV| Anime| Fantasy,,MMO,
Thomas,shingekinokyojin.wikia.com,338386,Comics,Action| Fantasy| Horror| Drama,,PlayStation Vita,
Annette,queensblade.wikia.com,29197,Comics,Books| Anime| Manga,,Tower Defense,
Scott,batman.wikia.com,3166,Comics,Movies| Gaming| Toys| TV| Animation| Books| ,,Young Adult,
Bert,highschooldxd.wikia.com,462582,Comics,Anime| Books| Horror| ,,,
Tim Q,toarumajutsunoindex.wikia.com,52685,Comics,Anime| Fantasy| ,,,
Annette,ironman.wikia.com,6782,Comics,Action| Movies| TV| Animation| Gaming| Toys| Heroes,,,
Scott,jojo.wikia.com,5278,Comics,Anime| Gaming| TV| Books,,,
Ariana,turtlepedia.wikia.com,2061,Comics,TV| Movies| Gaming| Toys| Animation| Fighting| Fantasy,,,
Grace,x-men.wikia.com,1295,Comics,Movies| TV| Action| Sci-fi,,,
Grace,swordartonline.wikia.com,295658,Comics,Anime| Fantasy| Romance| Action| Adventure| Sci-Fi| Books,,,
Bert,kurokonobasuke.wikia.com,187071,Comics,Anime| Sports| TV| Young Adult,,,
Bert,beyblade.wikia.com,3655,Comics,Toys| Anime| Fantasy| Action,,,
Bert,hero.wikia.com,20780,Comics,TV| Sci-Fi| Heroes| Fantasy| Animation| Adventure| Action,,,
Tim Q,magi.wikia.com,18751,Comics,Anime| Nintendo 3DS| Young Adult,,,
Sannse,dcanimated.wikia.com,393,Comics,Animation| TV| Heroes| Movies,,,
Sannse,sailormoon.wikia.com,537,Comics,Children| Anime| Music| Toys| Gaming| Movies,,,
Sannse,fables.wikia.com,34220,Comics,Fantasy| Action,,,
Andrew,kenichi.wikia.com,10535,Comics,Anime| Animation| Playstation 2,,,
Kirkburn,monstergirlencyclopedia.wikia.com,493764,Comics,Fantasy| Anime,,,
Kirkburn,narutofanon.wikia.com,3156,Comics,TV| Movies| Anime| Toys| Fantasy,,,
Kirkburn,spiderman.wikia.com,695,Comics,TV| Movies| Fantasy| Animation| Adventure| Gaming| Heroes,,,
Kirkburn,aonoexorcist.wikia.com,166617,Comics,Anime| TV| Fantasy,,,
Kirkburn,duelmasters.wikia.com,6546,Comics,Tabletop| Anime| Fantasy| Gaming,,,
Kirkburn,kuroshitsuji.wikia.com,13501,Comics,Fantasy| Anime| Horror,,,
Brandon,archiesonic.wikia.com,3989,Comics,Animation| Books| Fantasy,,,
Brandon,gintama.wikia.com,14161,Comics,Anime| Books| Comedy| Gaming| Movies| Music| Sci-Fi,,,
Brandon,deathnote.wikia.com,3581,Comics,Anime| Books| Fantasy| Gaming| Movies| Music,,,
Wendy,animebaths.wikia.com,70256,Comics,anime| animation| movies,,,
Wendy,berserk.wikia.com,7275,Comics,anime| fantasy| action| adventure| movies| music,,,
Luis,no-game-no-life.wikia.com,895016,Comics,animation| fantasy| adventure,,,
Nick,hetalia.wikia.com,11764,Comics,Anime| Comedy,,,
Annette,greenlantern.wikia.com,6971,Comics,Movies| Animation| Heroes,,,
Annette,saintseiya.wikia.com,9969,Comics,Anime| TV,,,
Annette,log-horizon.wikia.com,827639,Comics,Anime,,Puzzle,
Thomas,villains.wikia.com,1544,Comics,TV| Books| Comics| Gaming| Movies,,Mobile,
Thomas,powerlisting.wikia.com,48473,Comics,TV| Comics| Movies| Gaming| Books,,PlayStation 3,
Joe,runescape.wikia.com,304,Gaming,MMO| Fantasy| Free-to-Play,,Animation,
Joe,bravefrontierglobal.wikia.com,841905,Gaming,Mobile| iOS| Android| RPG,,Answers,
Joe,fallout.wikia.com,3035,Gaming,RPG| Shooter| Strategy| PC| Xbox 36 PlayStation  Comics,,Auto,
Joe,leagueoflegends.wikia.com,14764,Gaming,MOBA| Strategy| Free-to-Play| Fantasy| e-Sports,,Children,
Joe,clashofclans.wikia.com,558247,Gaming,Mobile| iOS| Android| Free-to-Play| Strategy,,Classical,
Joe,gta.wikia.com,4541,Gaming,Action| PC| Xbox 36 PlayStation  iOS,,Comedy,
Joe,www.wowwiki.com,490,Gaming,MMO| RPG| Strategy| Fantasy| PC| Books| Tabletop| TCG,,Comics,
Joe,warframe.wikia.com,544934,Gaming,Shooter| Free-to-Play| Sci-Fi| PC| Xbox One| Playstation 4,,Country,
Joe,finalfantasy.wikia.com,174,Gaming,RPG| MMO| Strategy| Fantasy| PC| Xbox 36 Playstation  Mobile| iOS,,Creative,
Joe,cardfight.wikia.com,185111,Gaming,TCG| Tabletop| Comics| RPG| Strategy| Nintendo 3DS| iOS| Android,,e-Sports,
Joe,dragonage.wikia.com,10150,Gaming,RPG| Fantasy| PC| Xbox 36 PlayStation 3,,Electronic,
Joe,darksouls.wikia.com,208733,Gaming,Action| RPG| Fantasy| PC| Xbox 36 PlayStation 3,,Fanon,
Joe,terraria.wikia.com,255885,Gaming,PC| Xbox 36 PlayStation  iOS| Android| Action,,Fashion and Style,
Nico,saintsrow.wikia.com,4470,Gaming,Action| Adventure| Xbox 36 PC| PS 3,,Flash,
Joe,borderlands.wikia.com,11954,Gaming,Shooter| RPG| PC| Xbox 36 PlayStation 3,,Gaming,
Joe,masseffect.wikia.com,3491,Gaming,RPG| Shooter| Sci-Fi| PC| Xbox 36 PlayStation  Mobile| iOS| Android,,Heroes,
Thomas,callofduty.wikia.com,3125,Gaming,Shooter| Mobile| PC| PlayStation  PlayStation  Xbox 36 Xbox One,,Hip Hop/Rap/R&B,
Thomas,monsterhunter.wikia.com,3234,Gaming,Adventure| Strategy| Survival| Nintendo 3DS| PlayStation 3,,Home and Gardening,
Thomas,tibia.wikia.com,351,Gaming,Free-to-Play| MMO| PC| RPG,,Humor,
Thomas,avengersalliance.wikia.com,476950,Gaming,Android| iOS| Free-to-Play| PC| Mac| Strategy,,Indie,
Thomas,dont-starve-game.wikia.com,599420,Gaming,Action| Adventure| Mac| PC| PlayStation  Survival| Horror,,Jazz,
Thomas,2007.runescape.wikia.com,691244,Gaming,Fantasy| MMO| RPG| PC| Mac,,Nintendo Wii U,
Joe,elderscrolls.wikia.com,1706,Gaming,Fantasy| RPG| MMO| PC| Xbox 36 PlayStation 3,,Note: Please Click,
Thomas,pokemon.wikia.com,74,Gaming,Anime| Comics| Children| Fantasy| RPG| Nintendo 3DS,,PC,
Thomas,wiki.ffxiclopedia.org,1657,Gaming,Fantasy| MMO| RPG| PC| Xbox 360,,Philosophy,
Nico,civilization.wikia.com,1945,Gaming,Strategy| Tabletop| PC| Mac| Playstation 3,,Platformer,
Thomas,halo.wikia.com,462,Gaming,Shooter| Sci-Fi| PC| Mac| Xbox 36 Xbox One,,Politics,
Thomas,sims.wikia.com,105,Gaming,Simulation| Strategy| PC| Mac,,Pop,
Thomas,pad.wikia.com,658287,Gaming,Mobile| Strategy| RPG,,Racing,
Thomas,animalcrossing.wikia.com,583,Gaming,Simulation| RPG| Nintendo 3DS,,Rock,
Thomas,fireemblem.wikia.com,941,Gaming,Strategy| RPG| Nintendo 3DS,,Romance,
Ariana,witcher.wikia.com,3443,Gaming,Books| Fantasy| Movies| TV| ,,Rougelike,
Thomas,megamitensei.wikia.com,5813,Gaming,RPG| PC| iOS| Nintendo 3DS| PlayStation Vita| Xbox 36 Fantasy,,Sci-Fi,
Nico,warhammer40k.wikia.com,501,Gaming,Tabletop| RTS| Sci-Fi| PC,,Shooter,
Nico,outlast.wikia.com,768449,Gaming,Survival| Horror| PC| Playstation  Xbox One,,Stealth,
Nico,assassinscreed.wikia.com,3510,Gaming,Action| Adventure| Playstation  Xbox 36 PC| Mac| Nintendo DS| PS Vita| Playstation  iOS| Android| Nintendo Wii U,,Survival,
Nico,bindingofisaac.wikia.com,394524,Gaming,Action| Adventure| Rouguelike| PC| Mac| Linux,,Tabletop,
Nico,dragonsdogma.wikia.com,249580,Gaming,Action| RPG| PlayStation  Xbox 360,,Technology,
Nico,sonic.wikia.com,663,Gaming,iOS| Android| Nintendo DS| Xbox 36 PS  Wii| Nintendo 3DS| Action| Platformer| Racing,,Trading Card Game (TCG),
Nico,dragoncity.wikia.com,540764,Gaming,Mobile| Android| iOS| Fantasy| Free-to-Play,,TV,
Nico,watchdogs.wikia.com,955166,Gaming,Action| Adventure| PlayStation  PlayStation  Xbox 36 Xbox One| Nintendo Wii U| PC,,,
Nico,kancolle.wikia.com,813333,Gaming,Free-to-Play| Tabletop| Anime| TCG| Flash,,,
Nico,diablo.wikia.com,255,Gaming,Action| RPG| PC| PlayStation  PlayStation  Xbox 36 Xbox One| OSX,,,
Nico,residentevil.wikia.com,1249,Gaming,Movies| Survival| Horror| Action| PC| Playstation  Playstation  Xbox 36 Xbox One| Wii U| Books| Comics| Toys| Wii,,,
Nico,megaman.wikia.com,401,Gaming,Action| TV| Comics| Nintendo DS| PC| iOS| Android,,,
Nico,plantsvszombies.wikia.com,22439,Gaming,iOS| Xbox 36 PlayStation  Android| OSX| Nintendo DS| Tower Defense,,,
Nico,bioshock.wikia.com,3490,Gaming,Action| RPG| PlayStation  PC| Xbox 36 Shooter,,,
Nico,growtopia.wikia.com,653222,Gaming,iOS| PC| Adventure| Platformer| Android,,,
Nico,zelda.wikia.com,444,Gaming,Nintendo 3DS| Action| Adventure| Fantasy| Wii| Wii U,,,
Nico,dragon-story.wikia.com,536811,Gaming,iOS| Android| Animation| Fantasy,,,
Nico,metalgear.wikia.com,634,Gaming,Playstation  Shooter| Stealth| Action| PC| Xbox One| Xbox 36 Playstation  Nintendo 3DS,,,
Nico,feed-the-beast.wikia.com,620650,Gaming,PC| Xbox 36 PlayStation  iOS| Android| Linux| OSX| Xbox One| Playstation Vita| Playstation  Survival,,,
Nico,cookieclicker.wikia.com,807122,Gaming,Animation| Strategy| Java,,,
Nico,battlefield.wikia.com,1139,Gaming,Shooter| Xbox 36 PlayStation  PlayStation  PC| OSX| Xbox one,,,
Nico,bloodbrothersgame.wikia.com,596376,Gaming,iOS| Android| Action| RPG,,,
Nico,wolfenstein.wikia.com,4654,Gaming,Shooter| Xbox 36 PlayStation  PlayStation  Xbox One| PC| OSX,,,
Nico,dragonvale.wikia.com,379993,Gaming,Simulation| iOS| Android,,,
Nico,clubpenguin.wikia.com,2395,Gaming,MMO| RPG| Flash,,,
Nico,streetfighter.wikia.com,4492,Gaming,Movies| Animation| Fighting| Xbox 36 PlayStation  Playstation  PC| iOS| Android| Nintendo 3DS,,,
Nico,reddead.wikia.com,30404,Gaming,Action| Shooter| Xbox 36 Playstation 3,,,
Nico,castle-clash.wikia.com,803756,Gaming,Fantasy| Strategy| Android| iOS,,,
Nico,koei.wikia.com,912,Gaming,Fighting| Action| Adventure| Playstation  Nintendo 3DS| Xbox 36 Playstation Vita| Wii,,,
Nico,ayakashi-ghost-guild.wikia.com,608004,Gaming,Fanon| Fantasy| JRPG| IOS| Android,,,
Nico,ftl.wikia.com,553933,Gaming,RTS| Sci-Fi| iOS| Mac| PC| Rougelike| Linux,,,
Nico,eq2.wikia.com,324,Gaming,MMO| RPG| PC| Fantasy| Adventure| OSX,,,
Nico,typemoon.wikia.com,3775,Gaming,Anime| Comics| Fantasy| PC| RPG,,,
Nico,fable.wikia.com,3405,Gaming,Xbox One| Action| RPG| Xbox 36 PC| OSX,,,
Nico,supersmashbros.wikia.com,2714,Gaming,Action| Fighting| Wii U| Nintendo 3DS| Wii,,,
Nico,kirby.wikia.com,2728,Gaming,Action| Fantasy| Nintendo 3DS| Wii| Wii U,,,
Nico,pixelmon.wikia.com,580004,Gaming,Survival| PC| OSX,,,
Nico,forgottenrealms.wikia.com,691,Gaming,Books| Comics| Action| Fantasy| RPG| MMO| PC,,,
Nico,knights-and-dragons.wikia.com,742882,Gaming,IOS| Android| Fighting| Action| Fantasy,,,
Nico,buddyfight.wikia.com,824677,Gaming,TCG| Anime| Strategy,,,
Nico,candy-crush-saga.wikia.com,658996,Gaming,Flash| iOS| Android| Puzzle,,,
Nico,inazuma-eleven.wikia.com,124137,Gaming,Anime| Comics| Nintendo 3DS| Sports| RPG| Wii,,,
Nico,mysingingmonsters.wikia.com,599406,Gaming,iOS| Android| Simulation,,,
Nico,starcraft.wikia.com,458,Gaming,Sci-Fi| PC| OSX| RTS| e-Sports,,,
Nico,dotd.wikia.com,157404,Gaming,Flash| MMO| RPG| iOS| Android| Fantasy,,,
Nico,mortalkombat.wikia.com,949,Gaming,Fighting| Action| Movies| Playstation  Playstation  PC| Xbox 360,,,
Nico,mugen.wikia.com,665,Gaming,Fighting| PC| Linux,,,
Nico,mspaintadventures.wikia.com,11649,Gaming,Adventure| Comics| PC| OSX,,,
Nico,dcuniverseonline.wikia.com,11106,Gaming,MMO| Playstation  Playstation  RPG| Action| Comics| Toys| PC,,,
Nico,warcommander.wikia.com,360967,Gaming,Flash| MMO| RTS| Action,,,
Nico,simpsonstappedout.wikia.com,611971,Gaming,Android| iOS| RTS,,,
Nico,swtor.wikia.com,10178,Gaming,MMO| Sci-Fi| RPG| PC,,,
Nico,half-life.wikia.com,795,Gaming,Sci-Fi| Shooter| Playstation  Xbox One| Xbox 36 PC| OSX| Linux,,,
Nico,hexxit.wikia.com,770937,Gaming,Survival| PC| Mac| iOS| Xbox 36 PlayStation 3,,,
Nico,amalur.wikia.com,140962,Gaming,PC| Playstation  Xbox 36 Action| RPG,,,
Nico,tekkitclassic.wikia.com,480886,Gaming,Survival| PC| Mac| iOS| Xbox 36 PlayStation 3,,,
Nico,valkyriecrusade.wikia.com,711765,Gaming,TCG| iOS| Android| Anime,,,
Nico,lastremnant.wikia.com,11424,Gaming,JRPG| Xbox 36 PC,,,
Nico,gotascent.wikia.com,699958,Gaming,Flash| RPG| iOS,,,
Nico,dofuswiki.wikia.com,602,Gaming,RPG| MMO| Flash| Fantasy,,,
Nico,cnc.wikia.com,896,Gaming,PC| OSX| RTS| Xbox 36 Playstation 3,,,
Nico,kingdomhearts.wikia.com,1346,Gaming,Playstation  Playstation  Xbox One| Nintendo 3DS| RPG| Action,,,
Nico,counterstrike.wikia.com,430,Gaming,Shooter| PC| OSX| Linux,,,
Nico,whitewolf.wikia.com,381,Gaming,RPG| Fantasy| PC,,,
Nico,xcom.wikia.com,198492,Gaming,PC| OSX| Strategy| RPG| Linux| Android| Xbox 36 iOS,,,
Nico,ageofempires.wikia.com,659,Gaming,RTS| Simulation| PC| OSX| MMO,,,
Nico,minecraft.wikia.com,44732,Gaming,Survival| PC| Mac| iOS| Xbox 36 PlayStation 3,,,
Nico,silenthill.wikia.com,2022,Gaming,Survival| Horror| Playstation  Playstation Vita| Xbox 36 Wii| PC,,,
Nico,castlevania.wikia.com,1407,Gaming,Action| Adventure| Fantasy| PC| Xbox 36 Playstation  Nintendo 3DS| iOS,,,
Nico,deadspace.wikia.com,6139,Gaming,Shooter| Horror| Survival| PC| Xbox 36 Playstation 3,,,
Nico,harvestmoon.wikia.com,997,Gaming,Simulation| RPG| Nintendo 3DS| Wii,,,
Nico,corpseparty.wikia.com,434195,Gaming,Survival| Horror| Adventure| iOS| PC,,,
Nico,nintendo.wikia.com,1242,Gaming,Ninenton 3DS| Nintendo Wii U| Gaming| Wii,,,
Nico,payday.wikia.com,361803,Gaming,Shooter| PlayStation  Xbox 36 PC| Xbox One| Playstation 4,,,
Nico,stalker.wikia.com,3489,Gaming,Shooter| PC| Survival| Horror,,,
Nico,aselia.wikia.com,1610,Gaming,JRPG| iOS| Wii| Playstation  Xbox 36 Nintendo 3DS,,,
Nico,riskofrain.wikia.com,704065,Gaming,Rougelike| Platformer| Action| PC| Playstation Vita,,,
Nico,soulcalibur.wikia.com,2965,Gaming,Fighting| Android| iOS| Xbox 360,,,
Nico,doom.wikia.com,51,Gaming,Shooter| PC| OSX| Linux| Xbox 36 Playstation 3,,,
Nico,legendofthecryptids.wikia.com,548353,Gaming,Fantasy| TCG| Flash| iOS| Android,,,
Nico,danganronpa.wikia.com,613320,Gaming,Anime| iOS| Android| Adventure| Playstation Vita,,,
Nico,deusex.wikia.com,8322,Gaming,Action| RPG| Shooter| PC| Playstation  OSX,,,
Nico,drakensangonline.wikia.com,351990,Gaming,RPG| MMO| PC| Fantasy,,,
Nico,mountandblade.wikia.com,7434,Gaming,Action| RPG| PC,,,
Nico,farcry.wikia.com,3144,Gaming,Shooter| PC| Playstation  Playstation 3,,,
Nico,boombeach.wikia.com,863607,Gaming,iOS| Android| Strategy,,,
Nico,reborn.wikia.com,4014,Gaming,Anime| Nintendo DS| Fighting,,,
Nico,bakugan.wikia.com,6092,Gaming,Anime| Xbox 36 Playstation  Wii| Nintendo DS| Action,,,
Matt,destinyofspirits.wikia.com,855130,Gaming,RPG| Strategy| PlayStation Vita| Fantasy,,,
Matt,aceattorney.wikia.com,4382,Gaming,Adventure| Nintendo 3DS| Android| iOS| Nintendo Wii| Comics,,,
Matt,blazblue.wikia.com,37152,Gaming,PlayStation  Xbox 36 Anime| Fighting| Arcade| PSP| PC,,,
Matt,cafeworld.wikia.com,57702,Gaming,RPG| Facebook,,,
Matt,tyrantunleashed.wikia.com,766877,Gaming,iOS| Android,,,
Matt,starbound.wikia.com,742916,Gaming,Sci-Fi| PC| PlayStation Vita| Adventure| RPG| Survival,,,
Matt,towerofsaviors.wikia.com,694795,Gaming,iOS| Android| RPG| Adventure| Fantasy,,,
Matt,battlenations.wikia.com,425668,Gaming,Strategy| iOS| Android,,,
Matt,metroid.wikia.com,635,Gaming,Sci-Fi| Action| Adventure,,,
Matt,pokemonzetaomicron.wikia.com,741597,Gaming,RPG| Adventure,,,
Matt,skylanders.wikia.com,244592,Gaming,Toys| Fantasy| PlayStation  Xbox 36 Nintendo Wii U| PlayStation 4,,,
Matt,touhou.wikia.com,7356,Gaming,Shooter| Fantasy| Fighting,,,
Matt,hayday.wikia.com,558705,Gaming,Free-to-Play| iOS| Android| Strategy,,,
Matt,hearthstone.wikia.com,713422,Gaming,iOS| Android| Fantasy| Strategy| Card,,,
Matt,godofwar.wikia.com,2935,Gaming,Action| Adventure| PlayStation  PlayStation Vita| Movies| Comics| Books,,,
Matt,maplestory.wikia.com,823,Gaming,RPG| Free-to-Play| Fantasy,,,
Matt,deadrising.wikia.com,6216,Gaming,Xbox 36 Horror| Action| Xbox One| Playstation 3,,,
Matt,sealonline.wikia.com,5445,Gaming,MMO| PC,,,
Matt,trainstation.wikia.com,355486,Gaming,Free-to-Play,,,
Matt,minecraftpocketedition.wikia.com,427912,Gaming,Android| iOS| Survival,,,
Matt,tinkers-construct.wikia.com,746667,Gaming,Indie,,,
Matt,agarest.wikia.com,63564,Gaming,Playstation  Xbox 36 PC| ,,,
Matt,tekken.wikia.com,3534,Gaming,Playstation| Playstation  Playstation  Fighting| Xbox 360,,,
Matt,dishonored.wikia.com,331747,Gaming,Playstation  Xbox 36 PC| Action| Stealth| Adventure,,,
Matt,monstergirlquest.wikia.com,468156,Gaming,PC| Adventure,,,
Matt,therunefactory.wikia.com,315371,Gaming,Nintendo DS| Simulation| RPG,,,
Matt,angrybirds.wikia.com,120639,Gaming,Android| iOS,,,
Matt,ratchet.wikia.com,1122,Gaming,Playstation  Playstation  Playstation Vita| Playstation  Action| Adventure,,,
Matt,injusticegodsamongus.wikia.com,547034,Gaming,iOS| Playstation  Xbox 36 WiiU| Fighting| Heroes| Comics,,,
Matt,quiz-rpg-the-world-of-mystic-wiz.wikia.com,825961,Gaming,Android| iOS| Puzzle| Indie,,,
Matt,devilmaycry.wikia.com,1425,Gaming,Playstation  Playstation  Xbox 36 PC| Action,,,
Matt,xenoblade.wikia.com,252435,Gaming,WiiU| Action| RPG| Adventure| Playstation  Nintendo DS,,,
Matt,deadisland.wikia.com,130792,Gaming,Xbox 36 Playstation  PC| Action| ,,,
Matt,wocsolverlabs.wikia.com,865184,Gaming,Simulation| Creative| PC| Mac,,,
Matt,thelastofus.wikia.com,435087,Gaming,Playstation  Playstation  Action| Adventure| Sci-Fi| Heroes,,,
Matt,infamous.wikia.com,17960,Gaming,PlayStation  PlayStation  Action| Adventure| Sci-Fi| Heroes,,,
Matt,nfs.wikia.com,1383,Gaming,Racing| Xbox 36 Xbox One| PC| Playstation Playstation  PlayStation Vita| Android| iOS| Mac| Nintendo 3DS| Nintendo Wii U,,,
Matt,devilmaker.wikia.com,790869,Gaming,RPG| Free-to-Play| Fantasy| Tabletop| Android| iOS,,,
Matt,tekkitlite.wikia.com,666535,Gaming,Survival| Indie| PC,,,
Matt,stateofdecay.wikia.com,592934,Gaming,Survival| Horror| Action| PC| Xbox 360,,,
Matt,mutantsgeneticgladiators.wikia.com,793982,Gaming,Android| iOS| PC| Free-to-Play| RPG| Fantasy,,,
Matt,baldursgate.wikia.com,458381,Gaming,PC| RPG| Adventure| Fantasy| Mac,,,
Matt,lanoire.wikia.com,112657,Gaming,Adventure| Action| Xbox 36 Playstation  PC,,,
Matt,thaumcraft-3.wikia.com,657147,Gaming,Survival| Indie| PC,,,
Matt,rvb.wikia.com,1248,Gaming,Web entertainment (YouTube)| Comedy| Sci-Fi,,,
Matt,fallenlondon.wikia.com,189869,Gaming,Adventure| PC| Fantasy,,,
